color_1,color_2,color_3,color_4,color_1_name,color_2_name,color_3_name,color_4_name
#FF5733,#33FF57,#5733FF,#FFFF00,red,green,blue,yellow
#AB1234,#34AB12,#12AB34,#1234AB,unknown,green,unknown,blue
#E91E63,#9C27B0,#3F51B5,#2196F3,deeppink,mediumorchid,royalblue,lightskyblue
#8BC34A,#FFEB3B,#CDDC39,#FF9800,palegreen,lightgoldenrodyellow,olivedrab,amber
#FF0000,#00FF00,#0000FF,#FFFF00,red,lime,blue,yellow
#123456,#654321,#ABCDEF,#FEDCBA,unknown,unknown,lightblue,peachpuff
#FFC0CB,#D3D3D3,#FF6347,#000000,pink,lightgray,tomato,black
#FFFFF0,#ADFF2F,#8A2BE2,#A52A2A,ivory,greenyellow,blueviolet,brown
#FF1493,#DC143C,#00BFFF,#FFD700,deepskyblue,crimson,lightblue,gold
#32CD32,#8B0000,#40E0D0,#FFD700,limegreen,firebrick,turquoise,gold
#8A2BE2,#D2691E,#00FFFF,#FFD700,blueviolet,chocolate,cyan,gold
#DC143C,#32CD32,#0000FF,#FFFF00,crimson,limegreen,blue,yellow
#C71585,#FF4500,#32CD32,#FFD700,mediumvioletred,orange,mediumseagreen,gold
#8A2BE2,#D2691E,#00FFFF,#F08080,blueviolet,chocolate,cyan,lightcoral
#DC143C,#32CD32,#0000FF,#FFFF00,crimson,limegreen,blue,yellow
#C71585,#FF4500,#32CD32,#FFD700,mediumvioletred,orange,mediumseagreen,gold
#FF6347,#32CD32,#0000FF,#FFFF00,tomato,limegreen,blue,yellow
#FF6347,#8A2BE2,#D2691E,#00FFFF,tomato,blueviolet,chocolate,cyan
#FFFFF0,#ADFF2F,#8A2BE2,#A52A2A,ivory,greenyellow,blueviolet,brown
#8BC34A,#FFEB3B,#CDDC39,#FF9800,palegreen,lightgoldenrodyellow,olivedrab,amber
#FF0000,#00FF00,#0000FF,#FFFF00,red,lime,blue,yellow
#123456,#654321,#ABCDEF,#FEDCBA,unknown,unknown,lightblue,peachpuff
#FFC0CB,#D3D3D3,#FF6347,#000000,pink,lightgray,tomato,black
#FFFFF0,#ADFF2F,#8A2BE2,#A52A2A,ivory,greenyellow,blueviolet,brown
#FF1493,#DC143C,#00BFFF,#FFD700,deepskyblue,crimson,lightblue,gold
#32CD32,#8B0000,#40E0D0,#FFD700,limegreen,firebrick,turquoise,gold
#8A2BE2,#D2691E,#00FFFF,#FFD700,blueviolet,chocolate,cyan,gold
#DC143C,#32CD32,#0000FF,#FFFF00,crimson,limegreen,blue,yellow
#C71585,#FF4500,#32CD32,#FFD700,mediumvioletred,orange,mediumseagreen,gold
#8A2BE2,#D2691E,#00FFFF,#F08080,blueviolet,chocolate,cyan,lightcoral
#DC143C,#32CD32,#0000FF,#FFFF00,crimson,limegreen,blue,yellow
#C71585,#FF4500,#32CD32,#FFD700,mediumvioletred,orange,mediumseagreen,gold
#FF6347,#32CD32,#0000FF,#FFFF00,tomato,limegreen,blue,yellow
#FF6347,#8A2BE2,#D2691E,#00FFFF,tomato,blueviolet,chocolate,cyan
#FFFFF0,#ADFF2F,#8A2BE2,#A52A2A,ivory,greenyellow,blueviolet,brown
#8BC34A,#FFEB3B,#CDDC39,#FF9800,palegreen,lightgoldenrodyellow,olivedrab,amber
#FF0000,#00FF00,#0000FF,#FFFF00,red,lime,blue,yellow
#123456,#654321,#ABCDEF,#FEDCBA,unknown,unknown,lightblue,peachpuff
#FFC0CB,#D3D3D3,#FF6347,#000000,pink,lightgray,tomato,black
#FFFFF0,#ADFF2F,#8A2BE2,#A52A2A,ivory,greenyellow,blueviolet,brown
#FF1493,#DC143C,#00BFFF,#FFD700,deepskyblue,crimson,lightblue,gold
#32CD32,#8B0000,#40E0D0,#FFD700,limegreen,firebrick,turquoise,gold
#8A2BE2,#D2691E,#00FFFF,#FFD700,blueviolet,chocolate,cyan,gold
#DC143C,#32CD32,#0000FF,#FFFF00,crimson,limegreen,blue,yellow
